Emp ID,First Name,Last Name,SSN,DOB,State
214,Sarah,Simpson,***-**-8166,12/04/1985,FL
15,Samantha,Lara,***-**-7526,09/08/1993,CO
411,Stacy,Charles,***-**-8526,12/20/1957,PA
166,Michelle,Roy,***-**-3944,07/29/1978,MI
39,Joseph,Rogers,***-**-3515,03/28/1985,MN
423,Erica,Hines,***-**-6153,10/13/1975,NY
192,Zoe,Patel,***-**-0817,12/20/1967,WI
162,Matthew,Harvey,***-**-0346,01/20/1990,TN
131,Shawn,Davis,***-**-1581,07/21/1961,WV
20,April,Baldwin,***-**-2014,08/07/1961,MO
246,Vincent,Daniels,***-**-2754,01/06/1972,MT
525,Ann,Fields,***-**-7911,08/22/1960,IA
392,Jeffrey,Pearson,***-**-2578,05/05/1979,IL
474,Heather,Johnson,***-**-0904,09/23/1989,GA
478,Melissa,Fletcher,***-**-6881,03/14/1979,RI
101,Kimberly,Alvarez,***-**-8680,09/04/1984,LA
52,Monica,Jimenez,***-**-1668,04/08/1988,ND
182,Steven,Johnson,***-**-7070,05/28/1962,NE
637,Sarah,Wood,***-**-6715,06/15/1972,FL
510,Jesus,Petersen,***-**-0770,03/28/1958,OK
122,Rhonda,Rosales,***-**-0286,04/10/1963,AL
294,Nicole,Richardson,***-**-5228,09/09/1981,LA
327,Jennifer,Mendez,***-**-1994,07/20/1977,OR
145,Sandra,Petty,***-**-7629,01/30/1981,NC
565,Michael,Hester,***-**-6836,04/13/1987,SD
590,Joseph,Brown,***-**-4744,08/28/1982,NH
340,Michelle,Cooper,***-**-2306,08/23/1993,WA
176,Barbara,Wise,***-**-7662,12/15/1991,IN
63,Carol,Rosales,***-**-4907,07/20/1984,NJ
121,Mark,Villa,***-**-2207,02/24/1969,MS
70,Russell,Orozco,***-**-5514,09/16/1973,MS
446,Michelle,Sanchez,***-**-5222,08/21/1994,OK
156,Briana,Ayala,***-**-4542,10/31/1965,CT
343,Shane,Roberts,***-**-6030,12/14/1958,HI
599,Cassandra,Morris,***-**-3831,01/24/1973,MT
102,Krista,Thompson,***-**-7445,07/25/1984,KY
377,Jon,Bennett,***-**-1689,09/13/1957,NM
240,April,Thomas,***-**-3580,12/03/1993,CO
